Pacto,Partido,Candidato
POR TODO CHILE,PROGRESISTA,ANDREA  DUARTE VIDAL
POR TODO CHILE,PROGRESISTA,RAUL ALBERTO VILLAVICENCIO MARABOLI
POR TODO CHILE,INDEPENDIENTE PROGRESISTA,CAROLINA DE LA PAZ HINOJOSA CANALES
POR TODO CHILE,INDEPENDIENTE PROGRESISTA,JORGE ALBERTO ARROYO SALGADO
POR TODO CHILE,INDEPENDIENTE PROGRESISTA,JULIAN ALCAYAGA OLIVARES
POR TODO CHILE,INDEPENDIENTE PROGRESISTA,PATRICIA ELENA VALENZUELA SANDOVAL
POR TODO CHILE,PROGRESISTA,RODOLFO JAVIER CHELME BUSTOS
FRENTE AMPLIO,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO
FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NATALIA CASTILLO MUÑOZ
FRENTE AMPLIO,REVOLUCION DEMOCRATICA,GONZALO WINTER ETCHEBERRY
FRENTE AMPLIO,ECOLOGISTA VERDE,FRANCISCO  FIGUEROA CERDA
FRENTE AMPLIO,ECOLOGISTA VERDE,PATRICIO ANTONIO NEIRA PEZOA
FRENTE AMPLIO,ECOLOGISTA VERDE,ROSARIO ANDREA OLIVARES SAAVEDRA
FRENTE AMPLIO,INDEPENDIENTE ECOLOGISTA VERDE,JUAN CARLOS SANTIBAÑEZ NORAMBUENA
FRENTE AMPLIO,HUMANISTA,CHRISTIAN  PULGAR TOLEDO
FRENTE AMPLIO,INDEPENDIENTE IGUALDAD,ALBERTO MAYOL MIRANDA
UNION PATRIOTICA,UNION PATRIOTICA,FABIAN VASQUEZ SILVA
UNION PATRIOTICA,UNION PATRIOTICA,SERGIO GOMEZ CELEDON
UNION PATRIOTICA,UNION PATRIOTICA,ANGELICA CORNEJO ZUÑIGA
UNION PATRIOTICA,UNION PATRIOTICA,CARLA GONZALEZ MORALES
UNION PATRIOTICA,UNION PATRIOTICA,NINOZKA SANCHEZ CARO
UNION PATRIOTICA,UNION PATRIOTICA,CHRISTIAN JORQUERA TAPIA
LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,JULIA  URQUIETA OLIVARES
LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,JAVIERA  OLIVARES MARDONES
LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,RAMON  FARIAS PONCE
LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,VERONICA PAULINA PINILLA MARTINEZ
LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,MAYA  FERNANDEZ ALLENDE
LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,FRANCYS  FOIX FUENTEALBA
LA FUERZA DE LA MAYORIA,INDEPENDIENTE SOCIALISTA DE CHILE,VALESKA  NARANJO DAWSON
LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,CAROLA ANDREA SOLIS ARAYA
CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,CLAUDIO  ARRIAGADA MACAYA
CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,EVA JIMENEZ URIZAR
CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NICOLAS MUÑOZ MONTES
CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,TITO JAIME MONJE PINCHEIRA
CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,PEDRO ENRIQUE GARCIA ASPILLAGA
CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,ANA MARIA HERNANDEZ SAN MARTIN
CHILE VAMOS,RENOVACION NACIONAL,MARCELA  SABAT FERNANDEZ
CHILE VAMOS,RENOVACION NACIONAL,ROSA OYARCE SUAZO
CHILE VAMOS,RENOVACION NACIONAL,SEBASTIAN TORREALBA ALVARADO
CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,JORGE ALESSANDRI VERGARA
CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,CAROLINA LAVIN ALIAGA
CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,JULIO ISAMIT DIAZ
CHILE VAMOS,EVOLUCION POLITICA,LUCIANO CRUZ-COKE CARVALLO
CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,LUIS LARRAIN STIEB
CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,CECILIA AGUAYO IPINZA
CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,DAUNO TOTORO NAVARRO
,,Votos Nulos
,,Votos Blancos
