,Pacto,Sub Pacto,Partido,Candidato
0,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,VERONICA CASTRO AVELLO
1,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,JOSE ANTONIO SABAT MENDEZ
2,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,ANA MARIA SERMEÑO VERA
3,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,LUIS RAMON RECABARREN GALDAMES
4,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,NICOLAS PREUSS HERRERA
5,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,FRANCISCO MARIO VASQUEZ OLIVARES
6,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,ISMAEL CALDERON LARACH
7,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,MOISES BUGUEÑO GOMEZ
8,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,FELIPE SALGADO MONDACA
9,PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,PABLO RIVEROS QUIROZ
10,PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,ERNESTO MEDINA AGUAYO
11,PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,ROSARIO DEL CARMEN CARVAJAL ARAYA
12,PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,DAVID CASTILLO PALMA
13,PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,NICOLAS RAVEAU FELIU
