Pacto,Sub Pacto,Partido,Candidato
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,PAULA MENDOZA BRAVO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,FRANCYS FOIX FUENTEALBA
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,JAVIERA PAZ RAMOS GONZALEZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,MARCO UNDURRAGA ROMEO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,JAIME CASTILLO SOTO
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,CRISTIAN IGNACIO CANCINO MUÑOZ
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,VICTOR MANUEL SEPULVEDA LIPPI
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,ROBERTO MOYA CONEJEROS
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,JACQUELINE SAINTARD VERA
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,PARTIDO RADICAL SOCIALDEMOCRATA,ANDREA MAGDALENA OSORIO GUITART
PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,NATALIA CATALINA MANZO OLMOS
PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",MAS REGION ,WALDO ALEJANDRO ARRIAGADA PEÑAILILLO
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,GUIDO BENAVIDES ARANEDA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,JOSE LUIS ROSASCO ZAGAL
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,JENNIFER MORRIS PERALTA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,KARIN ARAYA JORQUERA
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,MIGUEL ANGEL ARCE GONZALEZ
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,MANUEL PEÑA SALAZAR
PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,GERMAN SYLVESTER FRIAS
PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,WALTER ÑANCUCHEO ANTIPAN
