,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,1 ,7 ,0% ,O 
Tarapaca ,2 ,12 ,0% ,O 
Antofagasta ,8 ,47 ,1% ,O 
Atacama ,O ,3 ,0% ,O 
Coquimbo ,4 ,34 ,1% ,O 
Valparaiso ,20 ,156 ,5% ,1 
Metropolitana ,115 ,1.636 ,48% ,6 
Libertador Bernardo O'Higgins ,6 ,32 ,1% ,O 
Maule ,11 ,82 ,2% ,1 
Nuble ,82 ,341 ,10% ,O 
Biobio ,35 ,275 ,8% ,2 
Araucania ,46 ,389 ,11% ,7 
De los Rios ,4 ,68 ,2% ,1 
De los Lagos ,22 ,203 ,6% ,O 
Aysen ,2 ,5 ,0% ,O 
Magallanes ,15 ,114 ,3% ,O 
,373 ,3.404 ,100% ,18 
