,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,13 ,41 ,1% ,O 
Tarapaca ,1 ,21 ,0% ,0 
Antofagasta ,8 ,68 ,1% ,O 
Atacama ,O ,5 ,0% ,O 
Coquimbo ,1 ,51 ,1% ,O 
Valparaiso ,7 ,198 ,4% ,1 
Metropolitana ,142 ,2.244 ,47% ,10 
Libertador Bernardo O'Higgins ,1 ,42 ,1% ,O 
Maule ,5 ,108 ,2% ,1 
Nuble ,49 ,474 ,10% ,4 
Biobio ,18 ,383 ,8% ,2 
Araucania ,53 ,562 ,12% ,14 
De los Rios ,5 ,104 ,2% ,1 
De los Lagos ,10 ,286 ,6% ,2 
Aysen ,O ,7 ,0% ,O 
Magallanes ,31 ,221 ,5% ,2 
,344 ,4.815 ,100% ,37 
