,Casosconfirmados,Casosactivos,%Casosactivos,CasosRecuperados,%Casosrecuperados,Nuevoscasos,Nuevosrecuperados
Arica - Parinacota ,265 ,150 ,56.6% ,112 ,42.3% ,13 ,O 
Tarapaca ,164 ,112 ,68.3% ,51 ,31.1% ,8 ,6 
Antofagasta ,457 ,308 ,67.4% ,145 ,31.7% ,14 ,11 
Atacama ,35 ,22 ,62.9% ,13 ,37.1% ,6 ,O 
Coquimbo ,74 ,8 ,10.8% ,66 ,89.2% ,1 ,O 
Valparaiso ,485 ,212 ,43.7% ,264 ,54.4% ,25 ,19 
Metropolitana ,7858 ,4055 ,51.6% ,3708 ,47.2% ,362 ,200 
O'Higgins ,94 ,46 ,48.9% ,47 ,50.0% ,2 ,2 
Maule ,363 ,222 ,61.2% ,129 ,35.5% ,9 ,2 
Nuble ,741 ,123 ,16.6% ,604 ,81.5% ,10 ,5 
Biobio ,706 ,194 ,27.5% ,506 ,71.7% ,3 ,12 
Araucania ,1236 ,441 ,35.7% ,763 ,61.7% ,20 ,17 
De los Rios ,180 ,42 ,23.3% ,135 ,75.0% ,2 ,3 
De los Lagos ,477 ,97 ,20.3% ,372 ,78.0% ,4 ,8 
Aysen ,7 ,0 ,0.0% ,7 ,100.0% ,0 ,O 
Magallanes ,671 ,256 ,38.2% ,405 ,60.4% ,3 ,18 
Total casos ,13813 ,6288 ,45.5% ,7327 ,53.0% ,482 ,303 
