Region,#examenesinformados
Arica ,146 
Tarapaca ,58 
Antofagasta ,180 
Atacama ,56 
Coquimbo ,0 
Valparaiso ,167 
Metropolitana ,3289 
O'Higgins ,30 
Maule ,535 
Nuble ,90 
Biobio ,174 
Araucania ,246 
Los Rios ,56 
Los Lagos ,207 
Aysen ,O 
Magallanes ,26 
Total ,5260 
