Region,#examenesinformados
Antofagasta ,103 
Atacama ,20 
Valparaiso ,223 
Metropolitana ,1.850 
Maule ,113 
Nuble ,65 
O'Higgins ,74 
Araucania ,232 
LOs Lagos ,39 
Magallanes ,45 
Total ,2.764 
