,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,7 ,252 ,1.89% ,3 
Tarapaca ,13 ,156 ,1.17% ,1 
Antofagasta ,52 ,443 ,3.32% ,4 
Atacama ,5 ,29 ,0.22% ,O 
Coquimbo ,O ,73 ,0.55% ,O 
Valparaiso ,6 ,460 ,3.45% ,9 
Metropolitana ,331 ,7496 ,56.23% ,91 
O'Higgins ,7 ,92 ,0.69% ,1 
Maule ,4 ,354 ,2.66% ,11 
Nuble ,6 ,731 ,5.48% ,14 
Biobio ,7 ,703 ,5.27% ,6 
Araucania ,13 ,1216 ,9.12% ,29 
De los Rios ,1 ,178 ,1.34% ,3 
De los Lagos ,8 ,473 ,3.55% ,8 
Aysen ,O ,7 ,0.05% ,O 
Magallanes ,13 ,668 ,5.01% ,9 
,473 ,13331 ,100% ,189 
