,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,4 ,124 ,"1,50% ",1 
Tarapaca ,O ,62 ,"0,75% ",O 
Antofagasta ,21 ,176 ,"2,13% ",1 
Atacama ,O ,13 ,"0,16% ",O 
Coquimbo ,O ,66 ,"0,80% ",O 
Valparaiso ,14 ,299 ,"3,61% ",2 
Metropolitana ,248 ,4.334 ,"52,39% ",41 
Libertador Bernardo O'Higgins ,1 ,54 ,"0,65% ",O 
Maule ,10 ,152 ,"1,84% ",4 
Nuble ,12 ,634 ,"7,66% ",8 
Biobio ,14 ,542 ,"6,55% ",2 
Araucania ,10 ,826 ,"9,98% ",21 
De los Rios ,2 ,150 ,"1,81% ",3 
De los Lagos ,5 ,390 ,"4,71% ",5 
Aysen ,O ,7 ,"0,08% ",O 
Magallanes ,15 ,444 ,"5,37% ",6 
,356 ,8.273 ,100% ,94 
