,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,30 ,210 ,1.78% ,2 
Tarapaca ,14 ,128 ,1.08% ,O 
Antofagasta ,14 ,340 ,2.88% ,2 
Atacama ,5 ,18 ,0.15% ,O 
Coquimbo ,O ,70 ,0.59% ,O 
Valparaiso ,8 ,429 ,3.63% ,7 
Metropolitana ,351 ,6434 ,54.47% ,85 
Libertador Bernardo O'Higgins ,17 ,76 ,0.64% ,1 
Maule ,5 ,333 ,2.82% ,10 
Nuble ,5 ,708 ,5.99% ,13 
Biobio ,17 ,675 ,5.71% ,5 
Araucania ,29 ,1142 ,9.67% ,26 
De los Rios ,2 ,173 ,1.46% ,3 
De los Lagos ,9 ,454 ,3.84% ,7 
Aysen ,O ,7 ,0.06% ,O 
Magallanes ,10 ,615 ,5.21% ,7 
,516 ,11812 ,100% ,168 
