Region,#examenesinformados
Arica ,48 
Tarapaca ,O 
Antofagasta ,197 
Atacama ,33 
Valparaiso ,177 
Metropolitana ,3.276 
O'Higgins ,72 
Maule ,328 
Nuble ,149 
Biobio ,214 
Araucania ,376 
LOs Rios ,121 
LOs Lagos ,139 
Aysen ,O 
Magallanes ,48 
Total ,5.178 
