,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,5 ,12 ,0% ,O 
Tarapaca ,1 ,13 ,0% ,O 
Antofagasta ,7 ,54 ,1% ,O 
Atacama ,2 ,5 ,0% ,O 
Coquimbo ,1 ,35 ,1% ,O 
Valparaiso ,20 ,176 ,5% ,1 
Metropolitana ,106 ,1.742 ,47% ,8 
Libertador Bernardo O'Higgins ,1 ,33 ,1% ,O 
Maule ,7 ,89 ,2% ,1 
Nuble ,29 ,370 ,10% ,1 
Biobio ,27 ,302 ,8% ,2 
Araucania ,43 ,432 ,12% ,7 
De los Rios ,10 ,78 ,2% ,1 
De los Lagos ,31 ,234 ,6% ,O 
Aysen ,1 ,6 ,0% ,O 
Magallanes ,42 ,156 ,4% ,1 
,333 ,3.737 ,100% ,22 
