Region,#examenesinformados
Arica ,169 
Tarapaca ,30 
Antofagasta ,146 
Atacama ,57 
Coquimbo ,22 
Valparaiso ,90 
Metropolitana ,3712 
O'Higgins ,86 
Maule ,663 
Nuble ,189 
Biobio ,468 
Araucania ,370 
Los Rios ,67 
Los Lagos ,335 
Aysen ,21 
Magallanes ,O 
Total ,6425 
