Region,#examenesinformados
Arica ,41 
Tarapaca ,90 
Antofagasta ,271 
Atacama ,75 
Coquimbo ,102 
Valparaiso ,251 
Metropolitana ,4570 
O'Higgins ,63 
Maule ,302 
Nuble ,97 
Biobio ,251 
Araucania ,354 
Los Rios ,70 
Los Lagos ,220 
Aysen ,32 
Magallanes ,29 
Total ,6818 
