,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,O ,6 ,0% ,O 
Tarapaca ,O ,10 ,0% ,O 
Antofagasta ,4 ,39 ,1% ,O 
Atacama ,1 ,3 ,0% ,O 
Coquimbo ,2 ,30 ,1% ,O 
Valparaiso ,21 ,136 ,4% ,1 
Metropolitana ,101 ,1521 ,50% ,5 
Libertador Bernardo O'Higgins ,3 ,26 ,1% ,O 
Maule ,9 ,71 ,2% ,1 
Nuble ,14 ,259 ,9% ,O 
Biobio ,24 ,240 ,8% ,2 
Araucania ,41 ,343 ,11% ,6 
De los Rios ,6 ,64 ,2% ,1 
De los Lagos ,30 ,181 ,6% ,O 
Aysen ,1 ,3 ,0% ,O 
Magallanes ,36 ,99 ,3% ,O 
,293 ,3031 ,100% ,16 
