,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,29 ,239 ,1.94% ,3 
Tarapaca ,6 ,134 ,1.09% ,0 
Antofagasta ,26 ,366 ,2.97% ,2 
Atacama ,3 ,21 ,0.17% ,0 
Coquimbo ,2 ,72 ,0.59% ,O 
Valparaiso ,7 ,436 ,3.54% ,8 
Metropolitana ,327 ,6761 ,54.94% ,86 
Libertador Bernardo O'Higgins ,5 ,81 ,0.66% ,1 
Maule ,16 ,349 ,2.84% ,10 
Nuble ,7 ,715 ,5.81% ,14 
Biobio ,8 ,683 ,5.55% ,5 
Araucania ,42 ,1184 ,9.62% ,26 
De los Rios ,1 ,174 ,1.41% ,3 
De los Lagos ,6 ,460 ,3.74% ,8 
Aysen ,O ,7 ,0.06% ,O 
Magallanes ,9 ,624 ,5.07% ,8 
,494 ,12306 ,100% ,174 
