Region,#examenesinformados
Arica ,198 
Tarapaca ,30 
Antofagasta ,117 
Atacama ,29 
Valparaiso ,240 
Metropolitana ,4356 
O'Higgins ,58 
Maule ,469 
Nuble ,110 
Biobio ,408 
Araucania ,246 
Los Rios ,49 
Los Lagos ,139 
Aysen ,16 
Magallanes ,86 
Total ,6551 
