,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,O ,115 ,"1,53% ",1 
Tarapaca ,6 ,52 ,"0,69% ",0 
Antofagasta ,11 ,149 ,"1,98% ",1 
Atacama ,0 ,13 ,"0,17% ",O 
Coquimbo ,0 ,66 ,"0,88% ",O 
Valparaiso ,19 ,273 ,"3,63% ",2 
Metropolitana ,204 ,3.803 ,"50,54% ",36 
Libertador Bernardo O'Higgins ,2 ,48 ,"0,64% ",0 
Maule ,3 ,141 ,"1,87% ",3 
Nuble ,5 ,618 ,"8,21% ",7 
Biobio ,12 ,512 ,"6,80% ",2 
Araucania ,20 ,795 ,"10,56% ",17 
De los Rios ,3 ,138 ,"1,83% ",3 
De los Lagos ,8 ,380 ,"5,05% ",5 
Aysen ,O ,7 ,"0,09% ",O 
Magallanes ,19 ,415 ,"5,51% ",5 
,312 ,7.525 ,100% ,82 
