Region,#examenesinformados
Arica ,155 
Tarapaca ,O 
Antofagasta ,129 
Atacama ,31 
Valparaiso ,166 
Metropolitana ,3475 
O'Higgins ,0 
Maule ,O 
Nuble ,127 
Biobio ,358 
Araucania ,122 
LOs Rios ,0 
LOs Lagos ,96 
Aysen ,6 
Magallanes ,93 
Total ,4758 
