Region,#examenesinformados
Arica ,74 
Tarapaca ,185 
Antofagasta ,419 
Atacama ,101 
Coquimbo ,370 
Valparaiso ,489 
Metropolitana ,7691 
O'Higgins ,269 
Maule ,446 
Nuble ,196 
Biobio ,715 
Araucania ,372 
LOs Rios ,147 
Los Lagos ,1146 
Aysen ,102 
Magallanes ,58 
Total ,12780 
