Region,#examenesinformados
Arica ,73 
Tarapaca ,58 
Antofagasta ,214 
Atacama ,54 
Coquimbo ,72 
Valparaiso ,201 
Metropolitana ,4313 
O'Higgins ,195 
Maule ,349 
Nuble ,91 
Biobio ,404 
Araucania ,273 
LOs Rios ,99 
Los Lagos ,302 
Aysen ,13 
Magallanes ,52 
Total ,6763 
