Region,#examenesinformados
Arica ,90 
Tarapaca ,118 
Antofagasta ,217 
Atacama ,46 
Coquimbo ,42 
Valparaiso ,262 
Metropolitana ,4218 
O'Higgins ,O 
Maule ,254 
Nuble ,371 
Biobio ,354 
Araucania ,347 
LOs Rios ,77 
LOs Lagos ,406 
Aysen ,30 
Magallanes ,113 
Total ,6945 
