Fecha,Camasbasicas,Camasmedia,UTI,UCI,Total
15-04-2020 ,384 ,157 ,111 ,384 ,1036 
16-04-2020 ,385 ,113 ,168 ,407 ,1073 
17-04-2020 ,360 ,131 ,180 ,380 ,1051 
18-04-2020 ,407 ,195 ,134 ,373 ,1109 
19-04-2020 ,424 ,204 ,129 ,377 ,1134 
20-04-2020 ,428 ,202 ,121 ,392 ,1143 
21-04-2020 ,422 ,219 ,184 ,399 ,1224 
22-04-2020 ,470 ,192 ,120 ,411 ,1193 
23-04-2020 ,489 ,189 ,118 ,415 ,1211 
24-04-2020 ,494 ,193 ,125 ,418 ,1230 
25-04-2020 ,517 ,212 ,118 ,415 ,1262 
26-04-2020 ,513 ,225 ,122 ,426 ,1286 
27-04-2020 ,562 ,242 ,121 ,428 ,1353 
28-04-2020 ,589 ,245 ,130 ,418 ,1382 
29-04-2020 ,595 ,245 ,137 ,419 ,1396 
30-04-2020 ,612 ,248 ,161 ,428 ,1449 
01-05-2020 ,653 ,255 ,171 ,425 ,1504 
02-05-2020 ,712 ,256 ,184 ,449 ,1601 
03-05-2020 ,787 ,280 ,198 ,464 ,1729 
04-05-2020 ,836 ,278 ,214 ,470 ,1794 
05-05-2020 ,908 ,308 ,213 ,486 ,1914 
06-05-2020 ,989 ,328 ,219 ,493 ,2023 
07-05-2020 ,1055 ,351 ,239 ,508 ,2153 
08-05-2020 ,1119 ,359 ,237 ,544 ,2259 
09-05-2020 ,1163 ,372 ,262 ,565 ,2362 
