Region,#examenesinformados
Arica ,61 
Tarapaca ,111 
Antofagasta ,198 
Atacama ,112 
Coquimbo ,74 
Valparaiso ,169 
Metropolitana ,4349 
O'Higgins ,105 
Maule ,58 
Nuble ,104 
Biobio ,230 
Araucania ,275 
LOs Rios ,98 
LOs Lagos ,390 
Aysen ,53 
Magallanes ,67 
Total ,6454 
