Region,#examenesrealizados,%total
Antofagasta ,128 ,2.88% 
Atacama ,52 ,1.17% 
Valparaiso ,249 ,5.60% 
Metropolitana ,3185 ,71.67% 
Maule ,219 ,4.93% 
Biobio ,149 ,3.35% 
Araucania ,148 ,3.33% 
LOs Rios ,91 ,2.05% 
Los Lagos ,199 ,4.48% 
Magallanes ,24 ,0.54% 
Total ,4444 ,100.00% 
