Region,#examenesinformados
Arica ,89 
Tarapaca ,90 
Antofagasta ,231 
Atacama ,70 
Coquimbo ,191 
Valparaiso ,196 
Metropolitana ,5631 
O'Higgins ,72 
Maule ,322 
Nuble ,69 
Biobio ,355 
Araucania ,204 
Los Rios ,70 
Los Lagos ,262 
Aysen ,O 
Magallanes ,61 
Total ,7913 
