,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,9 ,170 ,1.57% ,2 
Tarapaca ,11 ,104 ,0.96% ,O 
Antofagasta ,28 ,291 ,2.69% ,1 
Atacama ,O ,13 ,0.12% ,O 
Coquimbo ,O ,69 ,0.64% ,O 
Valparaiso ,15 ,403 ,3.72% ,6 
Metropolitana ,145 ,5788 ,53.43% ,69 
Libertador Bernardo O'Higgins ,1 ,57 ,0.53% ,1 
Maule ,12 ,316 ,2.92% ,10 
Nuble ,7 ,694 ,6.41% ,13 
Biobio ,10 ,636 ,5.87% ,4 
Araucania ,47 ,1092 ,10.08% ,25 
De los Rios ,5 ,167 ,1.54% ,3 
De los Lagos ,8 ,432 ,3.99% ,6 
Aysen ,O ,7 ,0.06% ,O 
Magallanes ,27 ,593 ,5.47% ,7 
,325 ,10832 ,100% ,147 
