Region,#examenesinformados
Antofagasta ,107 
Valparaiso ,248 
Metropolitana ,2.105 
Biobio ,281 
Araucania ,126 
Los Lagos ,178 
Atacama ,60 
Magallanes ,46 
O'Higgins ,74 
Nuble ,259 
Arica ,93 
Total ,3.577 
