Region,#examenesinformados
Arica ,124 
Tarapaca ,8 
Antofagasta ,164 
Atacama ,114 
Coquimbo ,166 
Valparaiso ,450 
Metropolitana ,6144 
O'Higgins ,94 
Maule ,187 
Nuble ,129 
Biobio ,296 
Araucania ,421 
LOs Rios ,122 
LOs Lagos ,371 
Aysen ,O 
Magallanes ,126 
Total ,8916 
