Region,#examenesinformados
Arica ,77 
Tarapaca ,53 
Antofagasta ,236 
Atacama ,107 
Coquimbo ,23 
Valparaiso ,268 
Metropolitana ,6920 
O'Higgins ,174 
Maule ,135 
Nuble ,213 
Biobio ,473 
Araucania ,436 
Los Rios ,95 
Los Lagos ,686 
Aysen ,38 
Magallanes ,79 
Total ,10013 
