Region,#examenesinformados
Arica ,87 
Tarapaca ,102 
Antofagasta ,312 
Atacama ,105 
Coquimbo ,165 
Valparaiso ,327 
Metropolitana ,6922 
O'Higgins ,181 
Maule ,339 
Nuble ,101 
Biobio ,483 
Araucania ,194 
Los Rios ,133 
Los Lagos ,412 
Aysen ,46 
Magallanes ,58 
Total ,9967 
