Fecha,Casostotalesacumulados,Casosactivos,Casosrecuperados,Fallecidos,Casosnuevostotales,Nuevosrecuperados,Casosnuevosconsintomas,Casosnuevossinsintomas*
20-04-2020 ,10507 ,5692 ,4676 ,139 ,419 ,338 ,419 ,
21-04-2020 ,10832 ,5716 ,4969 ,147 ,325 ,293 ,325 ,
22-04-2020 ,11296 ,5750 ,5386 ,160 ,464 ,417 ,464 ,
23-04-2020 ,11812 ,5840 ,5804 ,168 ,516 ,418 ,516 ,
24-04-2020 ,12306 ,5805 ,6327 ,174 ,494 ,523 ,494 ,
25-04-2020 ,12858 ,5931 ,6746 ,181 ,552 ,419 ,552 ,
26-04-2020 ,13331 ,6118 ,7024 ,189 ,473 ,278 ,473 ,
27-04-2020 ,13813 ,6288 ,7327 ,198 ,482 ,303 ,482 ,
28-04-2020 ,14365 ,6448 ,7710 ,207 ,552 ,383 ,552 ,
29-04-2020 ,15135 ,6862 ,8057 ,216 ,770 ,347 ,520 ,250 
30-04-2020 ,16023 ,7216 ,8580 ,227 ,888 ,523 ,780 ,108 
01-05-2020 ,17008 ,7756 ,9018 ,234 ,985 ,438 ,882 ,103 
02-05-2020 ,18435 ,8615 ,9573 ,247 ,1427 ,555 ,1246 ,181 
03-05-2020 ,19663 ,9362 ,10041 ,260 ,1228 ,468 ,1112 ,116 
04-05-2020 ,20643 ,9958 ,10415 ,270 ,980 ,374 ,876 ,104 
05-05-2020 ,22016 ,11031 ,10710 ,275 ,1373 ,295 ,1317 ,56 
06-05-2020 ,23048 ,11578 ,11189 ,281 ,1032 ,479 ,893 ,139 
07-05-2020 ,24581 ,12632 ,11664 ,285 ,1533 ,475 ,1343 ,190 
08-05-2020 ,25972 ,13518 ,12160 ,294 ,1391 ,496 ,1183 ,208 
