Fecha,Casosconfirmados,Casosactivos,CasosRecuperados,Fallecidos,Nuevoscasos,Nuevosrecuperados
01-04-2020 ,3031 ,2793 ,222 ,16 ,293 ,33 
02-04-2020 ,3404 ,3062 ,324 ,18 ,373 ,102 
03-04-2020 ,3737 ,3303 ,412 ,22 ,333 ,88 
04-04-2020 ,4161 ,3624 ,510 ,27 ,424 ,98 
05-04-2020 ,4471 ,3839 ,598 ,34 ,310 ,88 
06-04-2020 ,4815 ,4069 ,709 ,37 ,344 ,111 
07-04-2020 ,5116 ,4194 ,879 ,43 ,301 ,170 
08-04-2020 ,5546 ,4404 ,1094 ,48 ,430 ,215 
09-04-2020 ,5972 ,4666 ,1249 ,57 ,426 ,155 
10-04-2020 ,6501 ,4891 ,1545 ,65 ,529 ,296 
11-04-2020 ,6927 ,5018 ,1836 ,73 ,426 ,291 
12-04-2020 ,7213 ,5074 ,2059 ,80 ,286 ,223 
13-04-2020 ,7525 ,5076 ,2367 ,82 ,312 ,308 
14-04-2020 ,7917 ,5179 ,2646 ,92 ,392 ,279 
15-04-2020 ,8273 ,5242 ,2937 ,94 ,356 ,291 
16-04-2020 ,8807 ,5403 ,3299 ,105 ,534 ,362 
17-04-2020 ,9252 ,5515 ,3621 ,116 ,445 ,322 
18-04-2020 ,9730 ,5569 ,4035 ,126 ,478 ,414 
19-04-2020 ,10088 ,5617 ,4338 ,133 ,358 ,303 
20-04-2020 ,10507 ,5692 ,4676 ,139 ,419 ,338 
21-04-2020 ,10832 ,5716 ,4969 ,147 ,325 ,293 
22-04-2020 ,11296 ,5750 ,5386 ,160 ,464 ,417 
23-04-2020 ,11812 ,5840 ,5804 ,168 ,516 ,418 
24-04-2020 ,12306 ,5805 ,6327 ,174 ,494 ,523 
25-04-2020 ,12858 ,5931 ,6746 ,181 ,552 ,419 
26-04-2020 ,13331 ,6118 ,7024 ,189 ,473 ,278 
27-04-2020 ,13813 ,6288 ,7327 ,198 ,482 ,303 
28-04-2020 ,14365 ,6448 ,7710 ,207 ,552 ,383 
