Region,#examenesinformados
Arica ,103 
Antofagasta ,175 
Atacama ,25 
Valparaiso ,273 
Metropolitana ,3861 
Maule ,341 
Nuble ,189 
Biobio ,469 
Araucania ,184 
LOs Lagos ,225 
Aysen ,7 
Magallanes ,45 
Total ,5897 
