,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,3 ,145 ,"1,44% ",2 
Tarapaca ,9 ,90 ,"0,89% ",O 
Antofagasta ,23 ,249 ,"2,47% ",1 
Atacama ,O ,13 ,"0,13% ",O 
Coquimbo ,O ,68 ,"0,67% ",O 
Valparaiso ,22 ,381 ,"3,78% ",5 
Metropolitana ,189 ,5.381 ,"53,34% ",63 
Libertador Bernardo O'Higgins ,O ,55 ,"0,55% ",O 
Maule ,26 ,302 ,"2,99% ",8 
Nuble ,11 ,678 ,"6,72% ",13 
Biobio ,10 ,616 ,"6,11% ",3 
Araucania ,28 ,972 ,"9,64% ",23 
De los Rios ,1 ,157 ,"1,56% ",3 
De los Lagos ,5 ,421 ,"4,17% ",6 
Aysen ,O ,7 ,"0,07% ",O 
Magallanes ,31 ,553 ,"5,48% ",6 
,358 ,10.088 ,100% ,133 
