Region,#examenesinformados
Arica ,85 
Tarapaca ,203 
Antofagasta ,166 
Atacama ,77 
Coquimbo ,44 
Valparaiso ,293 
Metropolitana ,4376 
O'Higgins ,72 
Maule ,606 
Nuble ,O 
Biobio ,340 
Araucania ,306 
Los Rios ,87 
Los Lagos ,324 
Aysen ,48 
Magallanes ,93 
Total ,7120 
