,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,8 ,142 ,"1,46% ",2 
Tarapaca ,8 ,81 ,"0,83% ",O 
Antofagasta ,15 ,226 ,"2,32% ",1 
Atacama ,O ,13 ,"0,13% ",O 
Coquimbo ,O ,68 ,"0,70% ",O 
Valparaiso ,14 ,359 ,"3,69% ",4 
Metropolitana ,277 ,5.192 ,"53,36% ",58 
Libertador Bernardo O'Higgins ,O ,55 ,"0,57% ",0 
Maule ,53 ,276 ,"2,84% ",8 
Nuble ,11 ,667 ,"6,86% ",12 
Biobio ,28 ,606 ,"6,23% ",3 
Araucania ,37 ,944 ,"9,70% ",23 
De los Rios ,2 ,156 ,"1,60% ",3 
De los Lagos ,4 ,416 ,"4,28% ",6 
Aysen ,O ,7 ,"0,07% ",O 
Magallanes ,21 ,522 ,"5,36% ",6 
,478 ,9.730 ,100% ,126 
