,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,16 ,161 ,"1,53% ",2 
Tarapaca ,3 ,93 ,"0,89% ",O 
Antofagasta ,14 ,263 ,"2,50% ",1 
Atacama ,O ,13 ,"0,12% ",O 
Coquimbo ,1 ,69 ,"0,66% ",O 
Valparaiso ,7 ,388 ,"3,69% ",5 
Metropolitana ,262 ,5.643 ,"53,71% ",67 
Libertador Bernardo O'Higgins ,1 ,56 ,"0,53% ",O 
Maule ,2 ,304 ,"2,89% ",10 
Nuble ,9 ,687 ,"6,54% ",13 
Biobio ,10 ,626 ,"5,96% ",3 
Araucania ,73 ,1.045 ,"9,95% ",23 
De los Rios ,5 ,162 ,"1,54% ",3 
De los Lagos ,3 ,424 ,"4,04% ",6 
Aysen ,O ,7 ,"0,07% ",O 
Magallanes ,13 ,566 ,"5,39% ",6 
,419 ,10.507 ,100% ,139 
