,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,20 ,107 ,"1,54% ",O 
Tarapaca ,3 ,38 ,"0,55% ",O 
Antofagasta ,7 ,117 ,"1,69% ",1 
Atacama ,0 ,13 ,"0,19% ",O 
Coquimbo ,3 ,64 ,"0,92% ",O 
Valparaiso ,7 ,248 ,"3,58% ",2 
Metropolitana ,255 ,3.448 ,"49,78% ",32 
Libertador Bernardo O'Higgins ,1 ,45 ,"0,65% ",0 
Maule ,3 ,134 ,"1,93% ",3 
Nuble ,17 ,606 ,"8,75% ",6 
Biobio ,16 ,490 ,"7,07% ",2 
Araucania ,27 ,739 ,"10,67% ",17 
De los Rios ,6 ,130 ,"1,88% ",2 
De los Lagos ,15 ,364 ,"5,25% ",5 
Aysen ,O ,7 ,"0,10% ",O 
Magallanes ,46 ,377 ,"5,44% ",3 
,426 ,6.927 ,100% ,73 
