Region,#examenesinformados
Arica ,86 
Tarapaca ,123 
Antofagasta ,182 
Atacama ,111 
Coquimbo ,O 
Valparaiso ,233 
Metropolitana ,5509 
O'Higgins ,214 
Maule ,267 
Nuble ,O 
Biobio ,416 
Araucania ,364 
LOs Rios ,90 
LOs Lagos ,243 
Aysen ,44 
Magallanes ,82 
Total ,7964 
