Region,#examenesinformados
Arica ,123 
Tarapaca ,221 
Antofagasta ,247 
Atacama ,164 
Coquimbo ,51 
Valparaiso ,690 
Metropolitana ,8382 
O'Higgins ,68 
Maule ,93 
Nuble ,171 
Biobio ,736 
Araucania ,413 
LOs Rios ,142 
Los Lagos ,449 
Aysen ,0 
Magallanes ,168 
Total ,12118 
