Region,#examenesinformados
Arica ,80 
Tarapaca ,57 
Antofagasta ,181 
Atacama ,73 
Coquimbo ,148 
Valparaiso ,184 
Metropolitana ,2975 
O'Higgins ,95 
Maule ,255 
Nuble ,59 
Biobio ,234 
Araucania ,218 
LOs Rios ,54 
LOs Lagos ,225 
Aysen ,29 
Magallanes ,63 
Total ,4930 
