,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,13 ,265 ,1.92% ,3 
Tarapaca ,8 ,164 ,1.19% ,1 
Antofagasta ,14 ,457 ,3.31% ,4 
Atacama ,6 ,35 ,0.25% ,O 
Coquimbo ,1 ,74 ,0.54% ,0 
Valparaiso ,25 ,485 ,3.51% ,9 
Metropolitana ,362 ,7858 ,56.89% ,95 
O'Higgins ,2 ,94 ,0.68% ,1 
Maule ,9 ,363 ,2.63% ,12 
Nuble ,10 ,741 ,5.36% ,14 
Biobio ,3 ,706 ,5.11% ,6 
Araucania ,20 ,1236 ,8.95% ,32 
De los Rios ,2 ,180 ,1.30% ,3 
De los Lagos ,4 ,477 ,3.45% ,8 
Aysen ,O ,7 ,0.05% ,O 
Magallanes ,3 ,671 ,4.86% ,10 
,482 ,13813 ,100% ,198 
