,Casosnuevos,CasosTotales,%Tota,Fallecidos
Arica - Parinacota ,16 ,28 ,1% ,O 
Tarapaca ,3 ,20 ,0% ,O 
Antofagasta ,5 ,60 ,1% ,O 
Atacama ,O ,5 ,0% ,O 
Coquimbo ,6 ,50 ,1% ,O 
Valparaiso ,6 ,191 ,4% ,1 
Metropolitana ,145 ,2.102 ,47% ,10 
Libertador Bernardo O'Higgins ,3 ,41 ,1% ,O 
Maule ,6 ,103 ,2% ,1 
Nuble ,24 ,425 ,10% ,3 
Biobio ,18 ,365 ,8% ,2 
Araucania ,32 ,509 ,11% ,13 
De los Rios ,10 ,99 ,2% ,1 
De los Lagos ,17 ,276 ,6% ,1 
Aysen ,1 ,7 ,0% ,0 
Magallanes ,18 ,190 ,4% ,2 
,310 ,4.471 ,100% ,34 
