Region,#examenesinformados
Arica ,92 
Tarapaca ,169 
Antofagasta ,291 
Atacama ,167 
Coquimbo ,59 
Valparaiso ,573 
Metropolitana ,7839 
O'Higgins ,150 
Maule ,181 
Nuble ,110 
Biobio ,647 
Araucania ,391 
LOs Rios ,127 
Los Lagos ,849 
Aysen ,32 
Magallanes ,58 
Total ,11735 
