Region,#examenesinformados
Arica ,24 
Antofagasta ,117 
Atacama ,25 
Valparaiso ,385 
Metropolitana ,2.694 
O'Higgins ,30 
Biobio ,311 
Araucania ,218 
Los Rios ,67 
Los Lagos ,137 
Aysen ,8 
Magallanes ,63 
Total ,4.079 
