2.793,3.063,3.303,3.624,,,,,,1.545,1.836,2.059,2.367,2.646,,,
,,,510 ,598 ,709 ,879 ,1.094 ,1.249 ,,,,,,,,
222 ,323 ,412 ,,,,,,,,,,,,,,
16 ,18 ,,27 ,34 ,37 ,43 ,48 ,57 ,65 ,73 ,80 ,82 ,92 ,94 ,105 ,116 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
