,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,3 ,268 ,1.87% ,3 
Tarapaca ,5 ,169 ,1.18% ,1 
Antofagasta ,24 ,481 ,3.35% ,4 
Atacama ,O ,35 ,0.24% ,O 
Coquimbo ,O ,74 ,0.52% ,O 
Valparaiso ,8 ,493 ,3.43% ,10 
Metropolitana ,442 ,8300 ,57.78% ,100 
O'Higgins ,3 ,97 ,0.68% ,1 
Maule ,21 ,384 ,2.67% ,12 
Nuble ,6 ,747 ,5.20% ,14 
Biobio ,3 ,709 ,4.94% ,7 
Araucania ,15 ,1251 ,8.71% ,32 
De los Rios ,O ,180 ,1.25% ,4 
De los Lagos ,O ,477 ,3.32% ,9 
Aysen ,O ,7 ,0.05% ,O 
Magallanes ,22 ,693 ,4.82% ,10 
,552 ,14365 ,100% ,207 
