,Casosconfirmados,Casosactivos,%Casosactivos,CasosRecuperados,%Casosrecuperados,Nuevoscasos,Nuevosrecuperados
Arica - Parinacota ,268 ,148 ,55.2% ,117 ,43.7% ,3 ,5 
Tarapaca ,169 ,107 ,63.3% ,61 ,36.1% ,5 ,10 
Antofagasta ,481 ,326 ,67.8% ,151 ,31.4% ,24 ,6 
Atacama ,35 ,22 ,62.9% ,13 ,37.1% ,O ,O 
Coquimbo ,74 ,8 ,10.8% ,66 ,89.2% ,O ,O 
Valparaiso ,493 ,208 ,42.2% ,275 ,55.8% ,8 ,11 
Metropolitana ,8300 ,4214 ,50.8% ,3986 ,48.0% ,442 ,278 
O'Higgins ,97 ,44 ,45.4% ,52 ,53.6% ,3 ,5 
Maule ,384 ,242 ,63.0% ,130 ,33.9% ,21 ,1 
Nuble ,747 ,125 ,16.7% ,608 ,81.4% ,6 ,4 
Biobio ,709 ,181 ,25.5% ,521 ,73.5% ,3 ,15 
Araucania ,1251 ,435 ,34.8% ,784 ,62.7% ,15 ,21 
De los Rios ,180 ,32 ,17.8% ,144 ,80.0% ,O ,9 
De los Lagos ,477 ,92 ,19.3% ,376 ,78.8% ,0 ,4 
Aysen ,7 ,0 ,0.0% ,7 ,100.0% ,0 ,O 
Magallanes ,693 ,264 ,38.1% ,419 ,60.5% ,22 ,14 
Tota casos ,14365 ,6448 ,44.9% ,7710 ,53.7% ,552 ,383 
