Fecha,#examenesinformados,#totaldeexamenes,#laboratoriosquereporta
01042020 ,2898 ,38040 ,23 
02042020 ,2685 ,40725 ,27 
03042020 ,3405 ,44130 ,36 
04042020 ,4467 ,48613 ,39 
05042020 ,3343 ,51956 ,37 
06042020 ,2908 ,54864 ,38 
07042020 ,2258 ,57122 ,32 
08042020 ,3269 ,60391 ,33 
09042020 ,7962 ,68353 ,42 
10042020 ,4444 ,72797 ,37 
11042020 ,3577 ,76374 ,27 
12042020 ,5897 ,82271 ,41 
13042020 ,2764 ,85035 ,31 
14042020 ,2759 ,87794 ,37 
15042020 ,,91873 ,37 
