Region,#examenesinformados
Arica ,52 
Tarapaca ,30 
Antofagasta ,147 
Atacama ,33 
Valparaiso ,142 
Metropolitana ,2126 
O'Higgins ,65 
Maule ,188 
Nuble ,73 
Biobio ,216 
Araucania ,206 
LOs Rios ,58 
Los Lagos ,149 
Aysen ,4 
Magallanes ,41 
Total ,3530 
