,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,12 ,53 ,1% ,O 
Tarapaca ,2 ,23 ,0% ,0 
Antofagasta ,1 ,69 ,1% ,1 
Atacama ,1 ,6 ,0% ,O 
Coquimbo ,1 ,52 ,1% ,O 
Valparaiso ,16 ,214 ,4% ,1 
Metropolitana ,106 ,2.350 ,46% ,12 
Libertador Bernardo O'Higgins ,0 ,42 ,1% ,O 
Maule ,O ,108 ,2% ,2 
Nuble ,48 ,522 ,10% ,5 
Biobio ,27 ,410 ,8% ,2 
Araucania ,50 ,612 ,12% ,14 
De los Rios ,5 ,109 ,2% ,2 
De los Lagos ,13 ,299 ,6% ,2 
Aysen ,O ,7 ,0% ,O 
Magallanes ,19 ,240 ,5% ,2 
,301 ,5.116 ,100% ,43 
