Fecha,Casosconfirmados,Casosactivos,CasosRecuperados,Fallecidos
01-04-2020 ,3.031 ,2.793 ,222 ,16 
02-04-2020 ,3.404 ,3.063 ,323 ,18 
03-04-2020 ,3.737 ,3.303 ,412 ,22 
04-04-2020 ,4.161 ,3.624 ,510 ,27 
05-04-2020 ,4.471 ,3.839 ,598 ,34 
06-04-2020 ,4.815 ,4.069 ,709 ,37 
07-04-2020 ,5.116 ,4.194 ,879 ,43 
08-04-2020 ,5.546 ,4.404 ,1.094 ,48 
09-04-2020 ,5.972 ,4.666 ,1.249 ,57 
10-04-2020 ,6.501 ,4.891 ,1.545 ,65 
11-04-2020 ,6.927 ,5.018 ,1.836 ,73 
12-04-2020 ,7.213 ,5.074 ,2.059 ,80 
13-04-2020 ,7.525 ,5.076 ,2.367 ,82 
14-04-2020 ,7.917 ,5.179 ,2.646 ,92 
15-04-2020 ,8.273 ,5.242 ,2.937 ,94 
