,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,O ,12 ,0% ,O 
Tarapaca ,4 ,17 ,0% ,O 
Antofagasta ,1 ,55 ,1% ,O 
Atacama ,O ,5 ,0% ,O 
Coquimbo ,9 ,44 ,1% ,0 
Valparaiso ,9 ,185 ,4% ,1 
Metropolitana ,215 ,1.957 ,47% ,9 
Libertador Bernardo O'Higgins ,5 ,38 ,1% ,O 
Maule ,8 ,97 ,2% ,1 
Nuble ,31 ,401 ,10% ,2 
Biobio ,45 ,347 ,8% ,2 
Araucania ,45 ,477 ,11% ,9 
De los Rios ,11 ,89 ,2% ,1 
De los Lagos ,25 ,259 ,6% ,0 
Aysen ,O ,6 ,0% ,O 
Magallanes ,16 ,172 ,4% ,2 
,424 ,4.161 ,100% ,27 
