Region,#examenesinformados
Arica ,84 
Tarapaca ,124 
Antofagasta ,259 
Atacama ,107 
Coquimbo ,78 
Valparaiso ,278 
Metropolitana ,5282 
O'Higgins ,111 
Maule ,249 
Nuble ,120 
Biobio ,534 
Araucania ,201 
Los Rios ,93 
Los Lagos ,276 
Aysen ,22 
Magallanes ,80 
Total ,7898 
