Region,#examenesinformados
Arica ,O 
Tarapaca ,60 
Antofagasta ,200 
Atacama ,50 
Valparaiso ,330 
Metropolitana ,2744 
O'Higgins ,O 
Male ,176 
Nuble ,76 
Biobio ,751 
Araucania ,169 
Los Rios ,91 
Los Lagos ,315 
Aysen ,8 
Magallanes ,48 
Total ,5018 
