,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,8 ,115 ,"1,59% ",1 
Tarapaca ,8 ,46 ,"0,64% ",O 
Antofagasta ,21 ,138 ,"1,91% ",1 
Atacama ,O ,13 ,"0,18% ",O 
Coquimbo ,2 ,66 ,"0,92% ",O 
Valparaiso ,6 ,254 ,"3,52% ",2 
Metropolitana ,151 ,3.599 ,"49,90% ",35 
Libertador Bernardo O'Higgins ,1 ,46 ,"0,64% ",O 
Maule ,4 ,138 ,"1,91% ",3 
Nuble ,7 ,613 ,"8,50% ",7 
Biobio ,10 ,500 ,"6,93% ",2 
Araucania ,36 ,775 ,"10,74% ",17 
De los Rios ,5 ,135 ,"1,87% ",3 
De los Lagos ,8 ,372 ,"5,16% ",5 
Aysen ,O ,7 ,"0,10% ",O 
Magallanes ,19 ,396 ,"5,49% ",4 
,286 ,7.213 ,100% ,80 
