Region,#examenesinformados
Arica ,131 
Tarapaca ,O 
Antofagasta ,143 
Atacama ,37 
Valparaiso ,246 
Metropolitana ,3670 
O'Higgins ,50 
Maule ,367 
Nuble ,159 
Biobio ,80 
Araucania ,220 
Los Rios ,71 
LOs Lagos ,198 
Aysen ,8 
Magallanes ,69 
Total ,5449 
