Region,#examenesinformados
Arica ,0 
Tarapaca ,59 
Antofagasta ,152 
Atacama ,47 
Coquimbo ,29 
Valparaiso ,384 
Metropolitana ,3917 
O'Higgins ,O 
Maule ,724 
Nuble ,221 
Biobio ,340 
Araucania ,176 
Los Rios ,54 
Los Lagos ,209 
Aysen ,4 
Magallanes ,49 
Total ,6365 
