,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,12 ,87 ,1.34% ,O 
Tarapaca ,6 ,35 ,0.54% ,O 
Antofagasta ,18 ,110 ,1.69% ,1 
Atacama ,3 ,13 ,0.20% ,O 
Coquimbo ,O ,61 ,0.94% ,O 
Valparaiso ,11 ,241 ,3.71% ,2 
Metropolitana ,361 ,3193 ,49.12% ,29 
Libertador Bernardo O'Higgins ,O ,44 ,0.68% ,O 
Maule ,3 ,131 ,2.02% ,2 
Nuble ,18 ,589 ,9.06% ,6 
Biobio ,14 ,474 ,7.29% ,2 
Araucania ,23 ,712 ,10.95% ,16 
De los Rios ,6 ,124 ,1.91% ,2 
De los Lagos ,9 ,349 ,5.37% ,2 
Aysen ,O ,7 ,0.11% ,O 
Magallanes ,45 ,331 ,5.09% ,3 
,529 ,6501 ,100% ,65 
