Region,Poblacion,Nodecasosconfirmados,Tasaincidenciaacumulada
Arica y Parinacota ,252.110 ,129 ,"51,2 "
Tarapaca ,382.773 ,66 ,"17,2 "
Antofagasta ,691.854 ,192 ,"27,8 "
Atacama ,314.709 ,13 ,"4,1 "
Coquimbo ,836.096 ,68 ,"8,1 "
Valparaiso ,1.960.170 ,330 ,"16,8 "
Metropolitana ,8.125.072 ,4.682 ,"57,6 "
O'Higgins ,991.063 ,54 ,"5,4 "
Maule ,1.131.939 ,167 ,"14,8 "
Nuble ,511.551 ,639 ,"124,9 "
Biobio ,1.663.696 ,559 ,"33,6 "
Araucania ,1.014.343 ,882 ,"87,0 "
Los Rios ,405.835 ,153 ,"37,7 "
LOs Lagos ,891.440 ,399 ,"44,8 "
Aisen ,107.297 ,7 ,"6,5 "
Magallanes ,178.362 ,467 ,"261,8 "
Total pais ,19.458.310 ,8.807 ,"45,3 "
