Region,Poblacion,NodeCasosconfirmados,Tasaincidencia&
Arica y Parinacota ,252110 ,12 ,"4,8 "
Tarapaca ,382773 ,17 ,"4,4 "
Antofagasta ,691854 ,55 ,"7,9 "
Atacama ,314709 ,5 ,"1,6 "
Coquimbo ,836096 ,44 ,"5,3 "
Valparaiso ,1960170 ,185 ,"9,4 "
Metropolitana ,8125072 ,1957 ,"24,1 "
O'Higgins ,991063 ,38 ,"3,8 "
Maule ,1131939 ,97 ,"8,6 "
Nuble ,511551 ,401 ,"78,4 "
Biobio ,1663696 ,347 ,"20,9 "
Araucania ,1014343 ,477 ,"47,0 "
LOs Rios ,405835 ,89 ,"21,9 "
Los Lagos ,891440 ,259 ,"29,1 "
Aisen ,107297 ,6 ,"5,6 "
Magallanes ,178362 ,172 ,"96,4 "
Total pais ,19458310 ,4161 ,"21,4 "
