Region,Poblacion,NodeCasosConfirmados,Tasaincidencia
Arica y Parinacota ,252110 ,28 ,11.1 
Tarapaca ,382773 ,20 ,5.2 
Antofagasta ,691854 ,60 ,8.7 
Atacama ,314709 ,5 ,1.6 
Coquimbo ,836096 ,50 ,6.0 
Valparaiso ,1960170 ,191 ,9.7 
Metropolitana ,8125072 ,2102 ,25.9 
O'Higgins ,991063 ,41 ,4.1 
Maule ,1131939 ,103 ,9.1 
Nuble ,511551 ,425 ,83.1 
Biobio ,1663696 ,365 ,21.9 
Araucania ,1014343 ,509 ,50.2 
Los Rios ,405835 ,99 ,24.4 
Los Lagos ,891440 ,276 ,31.0 
Aisen ,107297 ,7 ,6.5 
Magallanes ,178362 ,190 ,106.5 
Total pais ,19458310 ,4471 ,23.0 
